datetime,open,high,low,close,volume
2021-04-01 00:30:00,541.11,548.8,541.07,547.23,6375.84943
2021-04-01 01:00:00,547.66,554.66,546.59,552.49,7132.122780000001
2021-04-01 01:30:00,552.58,553.69,545.38,547.67,4569.09691
2021-04-01 02:00:00,547.5,550.66,544.82,548.5,2546.05547
2021-04-01 02:30:00,548.49,550.62,544.79,546.08,2055.21725
2021-04-01 03:00:00,546.09,548.25,544.7,545.45,1533.96448
2021-04-01 03:30:00,545.8,545.8,541.45,541.7,2260.03072
2021-04-01 04:00:00,541.87,543.9,540.48,541.56,2507.64161
2021-04-01 04:30:00,541.56,544.73,540.63,543.93,1658.89239
2021-04-01 05:00:00,543.85,544.96,536.0,540.0,4057.14056
2021-04-01 05:30:00,540.14,541.21,536.78,539.93,2571.9713
2021-04-01 06:00:00,540.02,540.41,534.52,535.46,1927.3278
2021-04-01 06:30:00,535.12,540.01,535.04,539.98,1922.24884
2021-04-01 07:00:00,539.98,542.14,535.19,536.86,2427.90282
2021-04-01 07:30:00,536.75,539.17,531.79,538.78,2143.50079
2021-04-01 08:00:00,538.85,539.32,536.73,538.96,1115.11012
2021-04-01 08:30:00,538.97,543.75,538.97,542.69,3420.17377
2021-04-01 09:00:00,542.61,546.81,533.54,538.7,4828.74305
2021-04-01 09:30:00,538.94,544.18,538.65,539.55,1866.54485
2021-04-01 10:00:00,539.28,539.55,536.87,537.64,1691.58113
2021-04-01 10:30:00,537.78,540.17,536.34,536.33,1546.03069
2021-04-01 11:00:00,536.32,540.84,534.0,535.68,3071.07818
2021-04-01 11:30:00,535.67,535.57,528.65,532.41,3244.29177
2021-04-01 12:00:00,532.41,534.47,531.59,533.4,1428.66919
2021-04-01 12:30:00,533.4,535.49,531.26,533.88,2754.1926
2021-04-01 13:00:00,533.69,533.69,529.45,533.02,2143.41727
2021-04-01 13:30:00,533.02,538.42,532.92,536.55,2154.78163
2021-04-01 14:00:00,536.55,539.85,536.29,537.28,2287.72861
